survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link,citation
arabb62,,country,,,,2020,,,wt,misc,arabb,arabb62,,https://www.arabbarometer.org/wp-content/uploads/ENG-Arab-Barometer-Wave-VI-Part-2-1.zip,https://www.arabbarometer.org/wp-content/uploads/ENG-Arab-Barometer-Wave-VI-Part-II-Questionnaire-2.pdf,,,
arabb63,,country,,,,2021,,,wt,misc,arabb,arabb63,,https://www.arabbarometer.org/wp-content/uploads/ENG-Arab-Barometer-Wave-VI-Part-3_DEC.zip,https://www.arabbarometer.org/wp-content/uploads/ENG-Arab-Barometer-Wave-VI-Part-III-Questionnaire.pdf,,,
arabb7,,country,,,,,,"tibble(orig = c(""Algeria"",""Egypt"",""Iraq"",""Jordan"",""Kuwait"",""Lebanon"",""Libya"",""Mauritania"",""Morocco"", ""Palestine"",""Sudan"",""Tunisia""), year = c(2022, 2022, 2022, 2022, 2022, 2021, 2022, 2022, 2022, 2021, 2022, 2021))",wt,misc,arabb,arabb7,,https://www.arabbarometer.org/wp-content/uploads/AB7_ENGLISH.zip,https://www.arabbarometer.org/wp-content/uploads/ENG-Arab-Barometer-Wave-VII-Questionnaire-RELEASE-v2-1.pdf,,,"Arab Barometer, 2022, Arab Barometer Wave 7, 2021-2022 [Dataset]"
arkolsky198905,,Argentina,,,,1989,,,,roper,arkolsky,ARKOLSKY1989-SIST12,,,,"list(file = file_path, var_names = c(""p28""), var_cards = c(4), var_positions = c(7), var_widths = c(1), total_cards = 4)",,
arromer199111,,Argentina,,,,1991,,,,roper,arromer,ARROMER1991-TOP008,,,,,,
arromer199207,,Argentina,,,,1992,,,,roper,arromer,ARROMER1992-TOP012,,,,,,
arromer199408,,Argentina,,,,1994,,,,roper,arromer,ARROMER1994-TOP024,,,,,,
arromer199603,,Argentina,,,,1996,,,,roper,arromer,ARROMER1996-TOP034,,,,,,
ases2000,,v0362,,,,2000,,,,icpsr,ases,ICPSR_22324,,,,,,"Inoguchi, Takashi. Asia Europe Survey (ASES): A Multinational Comparative Study in 18 Countries, 2001. ICPSR22324-v1. Ann Arbor, MI: Inter-university Consortium of Political and Social Research [distributor], 2008-06-24. http://doi.org/10.3886/ICPSR22324.v1 "
asiab2003,,country,,,,2003,,,,misc,asiab,asiabarometer2003,,,,,,
asiab2004,,country,,,,2004,,,weight,icpsr,asiab,ICPSR_20420,,,,,,
asiab2005,,country,,,,2005,,,weight,misc,asiab,asiabarometer2005,,,,,,
asiab2006,,country,,,,2006,,,,misc,asiab,asiabarometer2006,,,,,,
asiab2007,,country,,,,2007,,,weigh,misc,asiab,asiabarometer2007,,,,,,
asiab2008,,country,,,,2008,,,weigh,misc,asiab,asiabarometer2008,,,,,,
asianb1,,country,,,,,yrsurvey,,w_all,misc,asianb,asianb1,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 1 Merge [Dataset], September 6, 2017"
asianb2,,country,,,,,,"tibble(orig=c(""Japan"",""Hong Kong"",""Korea"",""Mainland China"",""Mongolia"",""Philippines"",""Taiwan"",""Thailand"",""Indonesia"",""Singapore"",""Vietnam"",""Cambodia"",""Malaysia""),year=c(2007,2007,2006,2008,2006,2005,2006,2006,2006,2006,2005,2008,2007))",w_all,misc,asianb,asianb2,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 2 Merge, 3rd Release [Dataset], July 24, 2017"
asianb3,,country,,,,,ir9,,allweight,misc,asianb,asianb3,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 3 Merge [Dataset], August 18, 2017"
asianb4,,country,,,,,year,,w,misc,asianb,asianb4,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 4 Merge, v1.5 [Dataset], December 11, 2018"
asianb5_australia,,country,,,,2018,,,w,misc,asianb,asianb5_australia,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Australia [Dataset], August 3, 2021"
asianb5_india,,country,,,,2019,,,w,misc,asianb,asianb5_india,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 India [Dataset], September 5, 2022"
asianb5_indonesia,,country,,,,2019,,,,misc,asianb,asianb5_indonesia,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Indonesia [Dataset], September 5, 2022"
asianb5_japan,,country,,,,2019,,,w,misc,asianb,asianb5_japan,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Japan [Dataset], September 5, 2022"
asianb5_korea,,country,,,,2019,,,w,misc,asianb,asianb5_korea,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 South Korea [Dataset], August 8, 2021"
asianb5_malaysia,,country,,,,2019,,,w,misc,asianb,asianb5_malaysia,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Malaysia [Dataset], August 19, 2021"
asianb5_mongolia,,country,,,,2018,,,w,misc,asianb,asianb5_mongolia,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Mongolia [Dataset], December 17, 2020"
asianb5_myanmar,,country,,,,2019,,,weight,misc,asianb,asianb5_myanmar,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Myanmar [Dataset], September 5, 2022"
asianb5_philippines,,country,,,,2018,,,w,misc,asianb,asianb5_philippines,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Philippines [Dataset], December 23, 2020"
asianb5_taiwan,,Taiwan,,,,2018,,,w_final,misc,asianb,asianb5_taiwan,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Taiwan [Dataset], August 5, 2019"
asianb5_thailand,,country,,,,2018,,,w,misc,asianb,asianb5_thailand,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Thailand [Dataset], August 5, 2021"
asianb5_vietnam,,country,,,,2018,,,w,misc,asianb,asianb5_vietnam,,,,,https://www.asianbarometer.org/datar?page=d10,"Hu Fu Center for East Asian Democratic Studies, Asian Barometer Wave 5 Vietnam [Dataset], December 15, 2020"
aussa2003,,Australia,,,,2003,,,,dataverse,aussa,aussa2003,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/8VUHRY,,,,
aussa2005,,Australia,,,,2005,,,,dataverse,aussa,aussa2005,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/SRXRC6,,,,
aussa2007,,Australia,,,,2007,,,v656,dataverse,aussa,aussa2007,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/1UPIZO,,,,
aussa2009,,Australia,,,,2009,,,v488,dataverse,aussa,aussa2009,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/IH68HQ,,,,
aussa2013,,Australia,,,,2013,,,,dataverse,aussa,aussa2013,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/PK3EIF,,,,
autnes2017,,Austria,,,,2017,,,"wt <- rowMeans(t_data %>% select(contains(""weightd"")), na.rm = TRUE)",dataverse,autnes,autnes2017,,https://data.aussda.at/dataset.xhtml?persistentId=doi:10.11587/I7QIYJ,,,,"Wagner, Markus; Aichholzer, Julian; Eberl, Jakob-Moritz; Meyer, Thomas M.; Berk, Nicolai; Büttner, Nico; Boomgaarden, Hajo; Kritzinger, Sylvia; Müller, Wolfgang C., 2018, ``AUTNES Online Panel Study 2017 (SUF edition)"", https://doi.org/10.11587/I7QIYJ, AUSSDA, V4, UNF:6:qXpb3Rjb7GgLHw7J3wNrEA== [fileUNF]"
belgiumes1991,,Belgium,,,,1991,,,v_weight,misc,dans,belgiumes1991,,,,,https://dx.doi.org/10.17026/dans-2za-cvds,
belgiumes1995,,Belgium,,,,1995,,,ls_belg,misc,dans,belgiumes1995,,,,,https://dx.doi.org/10.17026/dans-2b9-d6ac,
belgiumes1999,,Belgium,,,,1999,,,ls_belr,misc,dans,belgiumes1999,,,,,https://doi.org/10.17026/dans-z4z-zagc,"Prof.Dr. Marc Swyngedouw, KU Leuven, Departement Sociologie, J. Billiet, KU Leuven, ISPO, A. Frognier, U.C. Louvain, PIOP (primary investigator), 2016, ``Belgium General Election Study 1999"", https://doi.org/10.17026/dans-z4z-zagc, DANS Data Station Social Sciences and Humanities, V2"
belgiumes2003,,Belgium,,,,2003,,,age_belg,misc,dans,belgiumes2003,,,,,https://doi.org/10.17026/dans-z2x-hfdx,"Swyngedouw, Prof. dr. M. (Institute of Social and Political Opinion Research ISPO - KU Leuven, 2004, ``Belgium General Election Study 2003"", https://doi.org/10.17026/dans-z2x-hfdx, DANS Data Station Social Sciences and Humanities, V1, UNF:6:6uuZYzZMgXTjZKpmolY2+A== [fileUNF]"
belgiumes2007,,Belgium,,,,2007,,,w_age_bel,misc,dans,belgiumes2007,,,,,https://doi.org/10.17026/dans-xyh-cces,"M.M.H. Swyngedouw; A.P. Frognier, 2008, ``Belgium General Election Study 2007"", https://doi.org/10.17026/dans-xyh-cces, DANS Data Station Social Sciences and Humanities, V2, UNF:6:oSydQlfdsX+Y8ynzIM7bMw== [fileUNF]"
belgiumes2014,,Belgium,,,,2014,,,pre_weight1,dataverse,belgiumes,belgiumes2014,,https://ssh.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-22u-yvyu,,,,"M. Swyngedouw, 2015, ``Belgian National Election Study 2014"", https://doi.org/10.17026/dans-22u-yvyu, DANS Data Station Social Sciences and Humanities, V1, UNF:6:pCbb5HrF6dlgLxFROcw7UA== [fileUNF]"
bes1987,,United Kingdom,,,,1987,,,weight,misc,bes,bes1987,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/87BES.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/1987BESQuestionaire.pdf,,,"Heath, A., Jowell, R. and Curtice, J.K., British General Election Study, 1987; Cross-Section Survey [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], April 1993."
bes1992,,United Kingdom,,,,1992,,,wtfactor,misc,bes,bes1992,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/92BES.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/1992-1997BESPanelQuestionaire.pdf,,,"Heath, A. et al. , British General Election Study, 1992; Cross-Section Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], April 1993."
bes1997,,United Kingdom,,,,1997,,,wtallgb,misc,bes,bes1997,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/97BES.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/1997BESTechnicalReportandQuestionaire.pdf,,,"Heath, A. et al. , British General Election Study, 1997; Cross-Section Survey [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], May 1999."
bes2001,,United Kingdom,,,,2001,,,awgtgb,misc,bes,bes2001,,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/prepostagg.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/2001BESCampaignPanelTechnicalReportCodebookQuestionaire.pdf,,,"Clarke, H. et al. , British General Election Study, 2001; Cross-Section Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], March 2003."
bes2005_post,,United Kingdom,,,,2005,,,prewtbr,misc,bes,bes2005_post,,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESb.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESPostQuestionaire.pdf,,,"Clarke, H. et al. , British Election Study, 2005: Face-to-Face Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], November 2006."
bes2005_pre,,United Kingdom,,,,2005,,,prewtbr,misc,bes,bes2005_pre,,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESa.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESPreQuestionaire.pdf,,,"Clarke, H. et al. , British Election Study, 2005: Face-to-Face Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], November 2006."
bes2010,,United Kingdom,,,,2010,,,aweightt,misc,bes,bes2010,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/2010BESprepost.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/2010BESPostQuestionaire.pdf,,,"Whiteley, P.F. and Sanders, D., British Election Study, 2010: Face-to-Face Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], August 2014."
bes2015,,United Kingdom,,,,2015,,,wt_combined_main_capped,misc,bes,bes2015,,https://www.britishelectionstudy.com/wp-content/uploads/2018/01/bes_f2f_2015_v4.0.dta,https://www.britishelectionstudy.com/wp-content/uploads/2016/05/BES_2015_f2f_v3.0_codebook.pdf,,,"Fieldhouse, E., Green, J., Evans, G., Schmitt, H., van der Eijk, C., Mellon, J., Prosser, C. (2019). British Election Study, 2015: Face-to-Face Post-Election Survey. [data collection]. UK Data Service. SN: 7972, DOI: 10.5255/UKDA-SN-7972-1"
bes2017,,United Kingdom,,,,2017,,,sel_wt_capped,misc,bes,bes2017,,https://www.britishelectionstudy.com/wp-content/uploads/2020/02/bes_f2f_2017_v1.5.dta,https://www.britishelectionstudy.com/wp-content/uploads/2019/01/BES-2017-F2F-codebook.pdf,,,"Fieldhouse, E., Green, J., Evans, G., Schmitt, H., van der Eijk, C., Mellon, J., Prosser, C. (2019). British Election Study, 2017: Face-to-Face Post-Election Survey. [data collection]. UK Data Service. SN: 8418, DOI: 10.5255/UKDA-SN-8418-1"
bes2019,,United Kingdom,,,,2019,,,wt_sel_wt,misc,bes,bes2019,,https://www.britishelectionstudy.com/wp-content/uploads/2021/05/bes_rps_2019_1.1.1_dta.zip,https://www.britishelectionstudy.com/wp-content/uploads/2021/05/bes_rps_2019_doc_1.1.1.pdf,,,"Fieldhouse, E., Green, J., Evans, G., Prosser, C., de Geus, R., Bailey, J., Schmitt, H., van der Eijk, C., Mellon, J. (2022). British Election Study, 2019: Post-Election Random Probability Survey. [data collection]. UK Data Service. SN: 8875, DOI: 10.5255/UKDA-SN-8875-1"
besip_long,,wave,,"tibble(orig = c(1:25) %>% as.character(), dest = ""United Kingdom"")",,,,"tibble(orig = c(1:25) %>% as.character(), year = c(""2014"", ""2014"", ""2014"", ""2015"", ""2015"", ""2015"", ""2016"", ""2016"", ""2016"", ""2016"", ""2017"", ""2017"", ""2017"", ""2018"", ""2019"", ""2019"", ""2019"", ""2019"", ""2019"", ""2020"", ""2021"", ""2021"", ""2022"", ""2022"", ""2023"") )",weight,misc,bes,besip_long,,https://www.britishelectionstudy.com/wp-content/uploads/2024/02/BESIP_teaching_long.dta.zip,https://www.britishelectionstudy.com/wp-content/uploads/2024/02/besip_teaching_documentation.pdf,,https://www.britishelectionstudy.com/data-objects/panel-study-data/,"Fieldhouse, E. Green, J. Evans, G. Mellon, J. Prosser, C. Bailey, J. Griffiths, J. and Perrett, S. (2024). Teaching Version of the British Election Study Internet Panel. DOI:10.48420/25460980.v1"
bges1992,,United Kingdom,,,,1992,,,wtfactor,ukds,bges,2981,,,,,,
bges1997,,United Kingdom,,,,1997,,,wtallgb,icpsr,bges,ICPSR_02615,,,,,,
brdir199109,,Brazil,,,,1991,,,peso,roper,datafolha,BRDIR1991-1033,,,,,,
brdir199309,,Brazil,,,,1993,,,pesoe,roper,datafolha,BRDIR1993-00335,,,,,,
brdir199503,,Brazil,,,,1995,,,pesoest,roper,datafolha,BRDIR1995-00405,,,,,,
bsa_combo,,United Kingdom,,,,,year,,wt <- t_data$wtfactor; wt[wt > 10000] <- 1,icpsr,bsa,ICPSR_03095,,,,,,"Social and Community Planning Research. BRITISH SOCIAL ATTITUDES SURVEY, 1983-1991: [CUMULATIVE FILE]. ICPSR03095-v2. Brentwood, Essex, England: Social and Community Planning Research [producer], 1996. Colchester, Essex, England: UK Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2008-01-23. http://doi.org/10.3886/ICPSR03095.v2"
bsa1993,,United Kingdom,,,,1993,,,wtfactor,icpsr,bsa,ICPSR_03096,,,,,,"Social and Community Planning Research. British Social Attitudes Survey, 1993. ICPSR03096-v2. Colchester, Essex, England: United Kingdom Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2005-07-22. http://doi.org/10.3886/ICPSR03096.v2 "
bsa1994,,United Kingdom,,,,1994,,,wtfactor,icpsr,bsa,ICPSR_03097,,,,,,"Social and Community Planning Research. British Social Attitudes Survey, 1994. ICPSR03097-v2. Colchester, Essex, England: United Kingdom Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2005-07-22. http://doi.org/10.3886/ICPSR03097.v2 "
bsa1995,,United Kingdom,,,,1995,,,wtfactor,icpsr,bsa,ICPSR_03098,,,,,,"Social and Community Planning Research. BRITISH SOCIAL ATTITUDES SURVEY, 1995. ICPSR03098-v2. Brentwood, Essex, England: Social and Community Planning Research [producer], 1995. Colchester, Essex, England: UK Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2006-07-26. http://doi.org/10.3886/ICPSR03098.v2 "
bsa1996,,United Kingdom,,,,1996,,,wtfactor,icpsr,bsa,ICPSR_03099,,,,,,"Social and Community Planning Research. BRITISH SOCIAL ATTITUDES SURVEY, 1996. ICPSR03099-v2. Brentwood, Essex, England: Social and Community Planning Research [producer], 1996. Colchester, Essex, England: UK Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2006-07-26. http://doi.org/10.3886/ICPSR03099.v2 "
bsa1997,,United Kingdom,,,,1997,,,wtfactor,icpsr,bsa,ICPSR_03100,,,,,,"Social and Community Planning Research. BRITISH SOCIAL ATTITUDES SURVEY, 1997. ICPSR03100-v2. Brentwood, Essex, England:Social and Community Planning Research [producer], 1997. Colchester, Essex, England: UK Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2006-07-26. http://doi.org/10.3886/ICPSR03100.v2 "
bsa1998,,United Kingdom,,,,1998,,,wtfactor,ukds,bsa,4131,,,,,,"Social and Community Planning Research, British Social Attitudes Survey, 1998 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2000. SN: 4131, http://dx.doi.org/10.5255/UKDA-SN-4131-1"
bsa1999,,United Kingdom,,,,1999,,,wtfactor,ukds,bsa,4318,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 1999 [computer file]. Colchester, Essex: UK Data Archive [distributor], January 2001. SN: 4318, http://dx.doi.org/10.5255/UKDA-SN-4318-1"
bsa2000,,United Kingdom,,,,2000,,,wtfactor,ukds,bsa,4486,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2000 [computer file]. Colchester, Essex: UK Data Archive [distributor], March 2002. SN: 4486, http://dx.doi.org/10.5255/UKDA-SN-4486-1"
bsa2001,,United Kingdom,,,,2001,,,wtfactor,icpsr,bsa,ICPSR_03900,,,,,,"National Centre for Social Research. British Social Attitudes Survey, 2001. ICPSR03900-v1. Colchester, Essex, England: United Kingdom Data Archive/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2004. http://doi.org/10.3886/ICPSR03900.v1 "
bsa2002,,United Kingdom,,,,2002,,,wtfactor,ukds,bsa,4838,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2002 [computer file]. Colchester, Essex: UK Data Archive [distributor], March 2004. SN: 4838, http://dx.doi.org/10.5255/UKDA-SN-4838-1"
bsa2003,,United Kingdom,,,,2003,,,wtfactor,ukds,bsa,5235,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], September 2005. SN: 5235, http://dx.doi.org/10.5255/UKDA-SN-5235-1"
bsa2004,,United Kingdom,,,,2004,,,wtfactor,ukds,bsa,5329,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2004 [computer file]. Colchester, Essex: UK Data Archive [distributor], February 2006. SN: 5329, http://dx.doi.org/10.5255/UKDA-SN-5329-1"
bsa2005,,United Kingdom,,,,2005,,,wtfactor,ukds,bsa,5618,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2005 [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], October 2007. SN: 5618, http://dx.doi.org/10.5255/UKDA-SN-5618-1"
bsa2006,,United Kingdom,,,,2006,,,wtfactor,ukds,bsa,5823,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2006 [computer file]. Colchester, Essex: UK Data Archive [distributor], April 2008. SN: 5823, http://dx.doi.org/10.5255/UKDA-SN-5823-1"
bsa2007,,United Kingdom,,,,2007,,,wtfactor,ukds,bsa,6240,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2007 [computer file]. Colchester, Essex: UK Data Archive [distributor], July 2009. SN: 6240, http://dx.doi.org/10.5255/UKDA-SN-6240-1"
bsa2008,,United Kingdom,,,,2008,,,wtfactor,ukds,bsa,6390,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2008 [computer file]. Colchester, Essex: UK Data Archive [distributor], March 2010. SN: 6390, http://dx.doi.org/10.5255/UKDA-SN-6390-1"
bsa2009,,United Kingdom,,,,2009,,,wtfactor,ukds,bsa,6695,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2009 [computer file]. Colchester, Essex: UK Data Archive [distributor], February 2011. SN: 6695, http://dx.doi.org/10.5255/UKDA-SN-6695-1"
bsa2010,,United Kingdom,,,,2010,,,wtfactor,ukds,bsa,6969,,,,,,"National Centre for Social Research, British Social Attitudes Survey, 2010 [computer file]. Colchester, Essex: UK Data Archive [distributor], February 2012. SN: 6969, http://dx.doi.org/10.5255/UKDA-SN-6969-1"
bsa2011,,United Kingdom,,,,2011,,,wtfactor,ukds,bsa,7237,,,,,,"NatCen Social Research, British Social Attitudes Survey, 2011 [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], January 2014. SN: 7237, http://dx.doi.org/10.5255/UKDA-SN-7237-2"
bsa2012,,United Kingdom,,,,2012,,,wtfactor,ukds,bsa,7476,,,,,,"NatCen Social Research, British Social Attitudes Survey, 2012 [computer file]. Colchester, Essex: UK Data Archive [distributor], April 2014. SN: 7476, http://dx.doi.org/10.5255/UKDA-SN-7476-1"
bsa2013,,United Kingdom,,,,2013,,,wtfactor,ukds,bsa,7500,,,,,,"NatCen Social Research, British Social Attitudes Survey, 2013 [computer file]. Colchester, Essex: UK Data Archive [distributor], July 2014. SN: 7500, http://dx.doi.org/10.5255/UKDA-SN-7500-1"
bsa2014,,United Kingdom,,,,2014,,,wtfactor,ukds,bsa,7809,,,,,,"NatCen Social Research, British Social Attitudes Survey, 2014 [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], May 2016. SN: 7809, http://dx.doi.org/10.5255/UKDA-SN-7809-2"
bsa2015,,United Kingdom,,,,2015,,,wtfactor,ukds,bsa,8116,,,,,,"NatCen Social Research. (2017). British Social Attitudes Survey, 2015. [data collection]. 2nd Edition. UK Data Service. SN: 8116, http://doi.org/10.5255/UKDA-SN-8116-2"
bsa2016,,United Kingdom,,,,2016,,,wtfactor,ukds,bsa,8252,,,,,,"NatCen Social Research. (2017). British Social Attitudes Survey, 2016. [data collection]. UK Data Service. SN: 8252, http://doi.org/10.5255/UKDA-SN-8252-1"
bsa2017,,United Kingdom,,,,2017,,,wtfactor,ukds,bsa,8450,,,,,,"NatCen Social Research. (2019). British Social Attitudes Survey, 2017. [data collection]. UK Data Service. SN: 8450, http://doi.org/10.5255/UKDA-SN-8450-1"
bsa2018,,United Kingdom,,,,2018,,,wtfactor,ukds,bsa,8606,,,,,,"NatCen Social Research. (2021). British Social Attitudes Survey, 2018. [data collection]. 2nd Edition. UK Data Service. SN: 8606, http://doi.org/10.5255/UKDA-SN-8606-2"
bsa2019,,United Kingdom,,,,2019,,,wtfactor,ukds,bsa,8772,,,,,,"NatCen Social Research. (2021). British Social Attitudes Survey, 2019. [data collection]. UK Data Service. SN: 8772, http://doi.org/10.5255/UKDA-SN-8772-1"
bsa2020,,United Kingdom,,,,2020,,,bsa20_wt_new,ukds,bsa,9005,,,,,,"NatCen Social Research. (2022). British Social Attitudes Survey, 2020. [data collection]. UK Data Service. SN: 9005, DOI: 10.5255/UKDA-SN-9005-1"
bsa2021,,United Kingdom,,,,2021,,,bsa21_final_wt,ukds,bsa,9072,,,,,,"NatCen Social Research. (2023). British Social Attitudes Survey, 2021. [data collection]. UK Data Service. SN: 9072, DOI: http://doi.org/10.5255/UKDA-SN-9072-1"
canadianes2004,,Canada,,,,2004,,,ces04_cesnwgt,misc,canadianes,canadianes2004,,https://ces-eec.sites.olt.ubc.ca/files/2014/07/CES_04060811_final_without-geo-data.zip,,,,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2004. The 2004 Canadian Election Study. [dataset]"
canadianes2006,,Canada,,,,2006,,,ces06_cesnwgt,misc,canadianes,canadianes2006,,https://ces-eec.sites.olt.ubc.ca/files/2014/07/CES_04060811_final_without-geo-data.zip,,,,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2006. The 2006 Canadian Election Study. [dataset]"
canadianes2008,,Canada,,,,2008,,,ces08_natwgt,misc,canadianes,canadianes2008,,https://ces-eec.sites.olt.ubc.ca/files/2014/07/CES_04060811_final_without-geo-data.zip,,,,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2008. The 2008 Canadian Election Study. [dataset]"
canadianes2011,,Canada,,,,2011,,,weightbynadults_and_totpopn,misc,canadianes,canadianes2011,,https://ces-eec.sites.olt.ubc.ca/files/2014/07/CES_04060811_final_without-geo-data.zip,,,,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2011. The 2011 Canadian Election Study. [dataset]"
canadianes2015,,Canada,,,,2015,,,natwgt,misc,canadianes,canadianes2015,,https://ces-eec.sites.olt.ubc.ca/files/2017/04/CES2015_Combined_Stata14.zip,https://ces-eec.sites.olt.ubc.ca/files/2017/04/CES2015_Combined_Data_Codebook.pdf,,,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2015. The 2015 Canadian Election Study. [dataset]"
canadianes2019,,Canada,,,,2019,,,cps19_weight_general_all,dataverse,canadianes,canadianes2019,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUS88V,,,,"Stephenson, Laura B; Harell, Allison; Rubenson, Daniel; Loewen, Peter John, 2020, ``2019 Canadian Election Study (CES) - Online Survey"", https://doi.org/10.7910/DVN/DUS88V, Harvard Dataverse, V3, UNF:6:L0A0hDxh6b2mmK2nmQDoyw== [fileUNF]"
canadianes2021,,Canada,,,,2021,,,cps21_weight_general_all,dataverse,canadianes,canadianes2021,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XBZHKC,,,,"Stephenson, Laura B; Harell, Allison; Rubenson, Daniel; Loewen, Peter John, 2022, ``2021 Canadian Election Study (CES)"", https://doi.org/10.7910/DVN/XBZHKC, Harvard Dataverse, V3, UNF:6:UImDcX6kd5FnExyB5kM18Q== [fileUNF]"
