,survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
259,cbsnyt198511,NA,United States,NA,NA,NA,1985,NA,NA,weight,roper,cbsnyt,USCBSNYT1985-NOVREL,NA,NA,NA,"list(file = file_path, var_names = c(""q9"", ""weight""), var_cards = c(1, 3), var_positions = c(37, 49), var_widths = c(1, 6), total_cards = 3)",NA
260,cbsnyt198606,NA,United States,NA,NA,NA,1986,NA,NA,weight,roper,cbsnyt,USCBSNYT1986-JUNE,NA,NA,NA,"list(file = file_path, var_names = c(""q14"", ""weight""), var_cards = c(1, 3), var_positions = c(51, 49), var_widths = c(1, 6), total_cards = 3)",NA
261,cbsnyt198705,NA,United States,NA,NA,NA,1987,NA,NA,weight,roper,cbsnyt,USCBSNYT1987-CONST,NA,NA,NA,"list(file = file_path, var_names = c(""q21"", ""weight""), var_cards = c(1, 3), var_positions = c(64, 49), var_widths = c(1, 6), total_cards = 3)",NA
262,cbsnyt198708,NA,United States,NA,NA,NA,1987,NA,NA,weight,roper,cbsnyt,USCBSNYT1987-CATHOLIC,NA,NA,NA,"list(file = file_path, var_names = c(""q14"", ""weight""), var_cards = c(1, 3), var_positions = c(46, 49), var_widths = c(1, 6), total_cards = 3)",NA
263,cbsnyt198807,NA,United States,NA,NA,NA,1988,NA,NA,weight,roper,cbsnyt,USCBSNYT1988-8807,NA,NA,NA,"list(file = file_path, var_names = c(""q31"", ""weight""), var_cards = c(2, 3), var_positions = c(14, 49), var_widths = c(1, 6), total_cards = 3)",NA
264,cbsnyt198810,NA,United States,NA,NA,NA,1988,NA,NA,weight,roper,cbsnyt,USCBSNYT1988-8810-B,NA,NA,NA,"list(file = file_path, var_names = c(""q20"", ""weight""), var_cards = c(1, 3), var_positions = c(56, 49), var_widths = c(1, 6), total_cards = 3)",NA
265,cbsnyt198901,NA,United States,NA,NA,NA,1989,NA,NA,weight,roper,cbsnyt,USCBSNYT1989-JAN,NA,NA,NA,"list(file = file_path, var_names = c(""q22"",  ""q47"", ""weight""), var_cards = c(1, 2, 3), var_positions = c(69, 26, 49), var_widths = c(1, 1, 6), total_cards = 3)",NA
266,cbsnyt198905,NA,United States,NA,NA,NA,1989,NA,NA,weight,roper,cbsnyt,USCBSNYT1989-APRIL,NA,NA,NA,"list(file = file_path, var_names = c(""q7"", ""q8"", ""q14a"", ""q14b"", ""q14c"", ""q14d"", ""weight""), var_cards = c(1, 1, 1, 1, 1, 1, 3), var_positions = c(40, 41, 49, 50, 51, 52, 49), var_widths = c(1, 1, 1, 1, 1, 1, 6), total_cards = 3)",NA
267,cbsnyt198909,NA,United States,NA,NA,NA,1989,NA,NA,weight,roper,cbsnyt,USCBSNYT1989-SEP2,NA,NA,NA,"list(file = file_path, var_names = c(""q15"", ""q16"", ""q19a"", ""q19b"", ""q19c"", ""q19e"", ""q19g"", ""weight""), var_cards = c(1, 1, 1, 1, 1, 1, 1, 3), var_positions = c(54, 55, 58, 59, 60, 62, 64, 49), var_widths = c(1, 1, 1, 1, 1, 1, 1, 6), total_cards = 3)",NA
268,cbsnyt199302,NA,United States,NA,NA,NA,1993,NA,NA,weight,roper,cbsnyt,USCBSNYT1993-FEB93A,NA,NA,NA,"list(file = file_path, var_names = c(""q45"", ""q46"", ""weight""), var_cards = c(2, 2, 3), var_positions = c(9, 10, 49), var_widths = c(1, 1, 6), total_cards = 3)",NA
269,cbsnyt199306,NA,United States,NA,NA,NA,1993,NA,NA,weight,roper,cbsnyt,31091619,NA,NA,NA,NA,NA
270,cbsnyt199801,NA,United States,NA,NA,NA,1998,NA,NA,weight,roper,cbsnyt,USCBSNYT1998-98001A,NA,NA,NA,NA,NA
271,cceb2001_10,NA,country,NA,NA,NA,2001,NA,NA,weight1,gesis,cceb,ZA3978,NA,NA,NA,NA,NA
272,cceb2002,NA,country,NA,NA,NA,2002,NA,NA,weight1,gesis,cceb,ZA3979,NA,NA,NA,NA,NA
273,cceb2003_11,NA,country,NA,NA,NA,2003,NA,NA,weight1,gesis,cceb,ZA3986,NA,NA,NA,NA,NA
274,cceb2003_5,NA,country,NA,NA,NA,2003,NA,NA,weight1,gesis,cceb,ZA3983,NA,NA,NA,NA,NA
275,cceb2003_6,NA,country,NA,NA,NA,2003,NA,NA,weight1,gesis,cceb,ZA3984,NA,NA,NA,NA,NA
276,cceb2004,NA,country,NA,NA,NA,2004,NA,NA,weight1,gesis,cceb,ZA4246,NA,NA,NA,NA,NA
277,cces2009,NA,United States,NA,NA,NA,2009,NA,NA,v200,dataverse,cces,cces2009,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/20536,NA,NA,NA
278,cces2012,NA,United States,NA,NA,NA,2012,NA,NA,v103,dataverse,cces,cces2012,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/21447,NA,NA,NA
279,cces2014,NA,United States,NA,NA,NA,2014,NA,NA,weight,dataverse,cces,cces2014,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XFXJVY,NA,NA,NA
280,cces2015,NA,United States,NA,NA,NA,2015,NA,NA,weight,dataverse,cces,cces2015,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SWMWX8,NA,NA,NA
281,cces2016,NA,United States,NA,NA,NA,2016,NA,NA,commonweight,dataverse,cces,cces2016,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GDF6Z0,NA,NA,NA
282,cces2017,NA,United States,NA,NA,NA,2017,NA,NA,weights_common,dataverse,cces,cces2017,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3STEZY,NA,NA,NA
283,cces2018,NA,United States,NA,NA,NA,2018,NA,NA,NA,dataverse,cces,cces2018,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSBZ7K,NA,NA,NA
284,cces2019,NA,United States,NA,NA,NA,2019,NA,NA,commonweight,dataverse,cces,cces2019,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WOT7O8,NA,NA,NA
285,cdcee,NA,v3,NA,NA,"c(""East Germany""=""Germany"", ""West Germany""=""Germany"")",NA,v666,NA,wt <- t_data$v633; wt[!is.na(t_data$v634)] <- t_data$v634[!is.na(t_data$v634)]; wt[!is.na(t_data$v636)] <- t_data$v636[!is.na(t_data$v636)]; wt[!is.na(t_data$v637)] <- t_data$v637[!is.na(t_data$v637)]; wt[!is.na(t_data$v638)] <- t_data$v638[!is.na(t_data$v638)]; wt[!is.na(t_data$v639)] <- t_data$v639[!is.na(t_data$v639)]; wt[!is.na(t_data$v640)] <- t_data$v640[!is.na(t_data$v640)]; wt[is.na(wt)] <- 1,gesis,cdcee,ZA4054,NA,NA,NA,NA,NA
286,cgss2003,NA,China,NA,NA,NA,2003,NA,NA,ppwt,misc,cgss,cgss2003_14,NA,NA,NA,NA,NA
287,cgss2005,NA,China,NA,NA,NA,2005,NA,NA,weight05,misc,cgss,cgss2005_14,NA,NA,NA,NA,NA
288,cgss2006,NA,China,NA,NA,NA,2006,NA,NA,weight,misc,cgss,cgss2006,NA,NA,NA,NA,NA
289,cgss2006b,NA,China,NA,NA,NA,2006,NA,NA,NA,misc,cgss,cgss2006b,NA,NA,NA,NA,NA
290,cgss2008,NA,China,NA,NA,NA,2008,NA,NA,NA,misc,cgss,cgss2008b_14,NA,NA,NA,NA,NA
291,cgss2010,NA,China,NA,NA,NA,2010,NA,NA,weight,misc,cgss,cgss2010_14,NA,NA,NA,NA,NA
292,cgss2011,NA,China,NA,NA,NA,2011,NA,NA,weight,misc,cgss,cgss2011_14,NA,NA,NA,NA,NA
293,cgss2012,NA,China,NA,NA,NA,2012,NA,NA,weight,misc,cgss,cgss2012_14,NA,NA,NA,NA,NA
294,cgss2013,NA,China,NA,NA,NA,2013,NA,NA,weight,misc,cgss,cgss2013_14,NA,NA,NA,NA,NA
295,cgss2015,NA,China,NA,NA,NA,2015,NA,NA,weight,misc,cgss,cgss2015_14,NA,NA,NA,NA,NA
296,cgss2017,NA,China,NA,NA,NA,2017,NA,NA,weight,misc,cgss,cgss2017,NA,NA,NA,NA,NA
297,cgss2018,NA,China,NA,NA,NA,2018,NA,NA,weight,misc,cgss,cgss2018,NA,NA,NA,NA,NA
298,chcep199012,NA,Chile,NA,NA,NA,1990,NA,NA,weight,roper,chcep,CHCEP1990-151,NA,NA,NA,"list(file = file_path, var_names = c(""p21"", ""weight""),  var_positions = c(121, 175), var_widths = c(1, 9))",NA
299,chcep199109,NA,Chile,NA,NA,NA,1991,NA,NA,pond,roper,chcep,CHCEP1991-1022,NA,NA,NA,NA,NA
300,chcep199909,NA,Chile,NA,NA,NA,1999,NA,NA,weight,roper,chcep,CHCEP1999-1011,NA,NA,NA,"list(file = file_path, var_names = c(""p40"", ""weight""),  var_positions = c(232, 352), var_widths = c(1, 8))",NA
301,chcep200604,NA,Chile,NA,NA,NA,2006,NA,NA,factor_m2,roper,chcep,CHCEP2006-0531,NA,NA,NA,NA,NA
302,chcep200803,NA,Chile,NA,NA,NA,2008,NA,NA,pond,roper,chcep,CHCEP2008-0416,NA,NA,NA,NA,NA
303,chcep200806,NA,Chile,NA,NA,NA,2008,NA,NA,fcorrecc,roper,chcep,CHCEP2008-0626,NA,NA,NA,NA,NA
304,chcep201810,NA,Chile,NA,NA,NA,2018,NA,NA,ponderad,roper,chcep,31115706,NA,NA,NA,NA,NA
305,cid_combo,NA,country,NA,NA,NA,NA,year,NA,w1,gesis,cid,ZA4492,NA,NA,NA,NA,NA
306,cisbar198706,NA,Spain,NA,NA,NA,1987,NA,NA,NA,misc,cis,MD1695,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1680_1699/1695/cues1695.pdf,NA,NA
307,cisbar199005,NA,Spain,NA,NA,NA,1990,NA,NA,peso,misc,cis,MD1871,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1860_1879/1871/cues1871.pdf,NA,NA
308,cisbar199112,NA,Spain,NA,NA,NA,1991,NA,NA,NA,misc,cis,MD1984,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1980_1999/1984/cues1984.pdf,NA,NA
309,cisbar199312,NA,Spain,NA,NA,NA,1993,NA,NA,NA,misc,cis,MD2076,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2060_2079/2076/cues2076.pdf,NA,NA
310,cisbar201211,NA,Spain,NA,NA,NA,2012,NA,NA,NA,misc,cis,MD2966,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2960_2979/2966/cues2966.pdf,"list(file = file_path, var_names = ""p23"", var_positions = 72, var_widths = 1)",NA
311,cisbar201704,NA,Spain,NA,NA,NA,2017,NA,NA,NA,misc,cis,MD3173,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3160_3179/3175/cues3175.pdf,NA,NA
312,cisbar201804,NA,Spain,NA,NA,NA,2018,NA,NA,NA,misc,cis,MD3210,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3200_3219/3210/cues3210.pdf,NA,NA
313,cisbar201912,NA,Spain,NA,NA,NA,2019,NA,NA,peso,misc,cis,MD3269,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3260_3279/3269/cues3269.pdf,NA,NA
314,cisbar202102,NA,Spain,NA,NA,NA,2021,NA,NA,peso,misc,cis,MD3309,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3300_3319/3309/cues3309.pdf,NA,NA
315,cisim1990,NA,Spain,NA,NA,NA,1990,NA,NA,NA,misc,cis,ECIS1882,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1880_1899/1882/Ft1882.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
316,cisim1991,NA,Spain,NA,NA,NA,1991,NA,NA,NA,misc,cis,ECIS1964,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1960_1979/1964/Ft1964.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
317,cisim1993,NA,Spain,NA,NA,NA,1993,NA,NA,NA,misc,cis,ECIS2051,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2040_2059/2051/Ft2051.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
318,cisim1995,NA,Spain,NA,NA,NA,1995,NA,NA,Ponderacion,misc,cis,ECIS2131,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2120_2139/2131/FT2131.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
319,cisim1996,NA,Spain,NA,NA,NA,1996,NA,NA,Ponderacion,misc,cis,ECIS2214,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2200_2219/2214/FT2214.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
320,cisim2008fall,NA,Spain,NA,NA,NA,2008,NA,NA,Ponderacion,misc,cis,ECIS2773,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2760_2779/2773/ft2773.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
321,cisim2008winter,NA,Spain,NA,NA,NA,2009,NA,NA,Ponderacion,misc,cis,ECIS2792,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2780_2799/2792/Ft2792.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
322,cisim2009,NA,Spain,NA,NA,NA,2009,NA,NA,Ponderacion,misc,cis,ECIS2817,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2800_2819/2817/ft2817.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
323,cisim2010,NA,Spain,NA,NA,NA,2010,NA,NA,Ponderacion,misc,cis,ECIS2846,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2840_2859/2846/Ft2846.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
324,cisim2011,NA,Spain,NA,NA,NA,2011,NA,NA,Ponderacion,misc,cis,ECIS2918,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2900_2919/2918/Ft2918.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
325,cisim2012,NA,Spain,NA,NA,NA,2012,NA,NA,Ponderacion,misc,cis,ECIS2967,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2960_2979/2967/Ft2967.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
326,cisim2014,NA,Spain,NA,NA,NA,2014,NA,NA,Ponderacion,misc,cis,ECIS3019,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3000_3019/3019/FT3019.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
327,cisim2015,NA,Spain,NA,NA,NA,2015,NA,NA,Ponderacion,misc,cis,ECIS3119,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3100_3119/3119/Ft3119.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
328,cisim2016,NA,Spain,NA,NA,NA,2016,NA,NA,Ponderacion,misc,cis,ECIS3161,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3160_3179/3161/Ft3161.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
329,cisim2017,NA,Spain,NA,NA,NA,2017,NA,NA,Ponderacion,misc,cis,ECIS3190,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3180_3199/3190/FT3190.pdf,NA,https://analisis.cis.es/aDownloadFile.jsp
330,cispol1989,NA,Spain,NA,NA,NA,1989,NA,NA,peso,misc,cis,MD1788,NA,NA,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1780_1799/1788/cues1788.pdf,NA,NA
331,cmlic1980_val,NA,United States,NA,NA,NA,1980,NA,NA,weight,roper,cmlic,31094115,NA,NA,NA,"list(file = file_path, var_names = c(""iv21"", ""weight""), var_cards = c(4, 5), var_positions = c(62, 62), var_widths = c(1, 6), total_cards = 8)",NA
332,cnes1984,NA,Canada,NA,NA,NA,1984,NA,NA,wtfactor,icpsr,cnes,ICPSR_08544,NA,NA,NA,"list(file = file_path, var_names = c(""var332"", ""var335"", ""var336"", ""wtfactor""), var_cards = c(7, 7, 7, 13), var_positions = c(48, 51, 52, 30), var_widths = c(1, 1, 1, 7), total_cards = 17)",NA
333,cnes1988,NA,Canada,NA,NA,NA,1988,NA,NA,wt1,icpsr,cnes,ICPSR_09386,NA,NA,NA,"list(file = file_path, var_names = c(""L5"", ""var335"", ""var336"", ""wt1""), var_cards = c(5, 7, 7, 15), var_positions = c(45, 51, 52, 14), var_widths = c(1, 1, 1, 5), total_cards = 15)",NA
334,cnes1993,NA,Canada,NA,NA,NA,1992,NA,NA,cpsnwgt1,icpsr,cnes,ICPSR_06571,NA,NA,NA,NA,NA
335,cnes1997,NA,Canada,NA,NA,NA,1997,NA,NA,cpsnwgt1,icpsr,cnes,ICPSR_02593,NA,NA,NA,NA,NA
336,cnes2000,NA,Canada,NA,NA,NA,2000,NA,NA,cesnwgt,icpsr,cnes,ICPSR_03969,NA,NA,NA,NA,NA
337,cnn199301,NA,United States,NA,NA,NA,1993,NA,NA,weight,roper,cnn,USYANK1993-85202,NA,NA,NA,NA,NA
338,cnn199406,NA,United States,NA,NA,NA,1994,NA,NA,weight,roper,cnn,USYANK1994-94011,NA,NA,NA,NA,NA
339,cnn199810,NA,United States,NA,NA,NA,1998,NA,NA,weight,roper,cnn,USYANK1998-98014,NA,NA,NA,NA,NA
340,cnn200001,NA,United States,NA,NA,NA,2000,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2000-02,NA,NA,NA,NA,NA
341,cnn200306,NA,United States,NA,NA,NA,2003,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2003-35,NA,NA,NA,NA,NA
342,cnn200309,NA,United States,NA,NA,NA,2003,NA,NA,weight,roper,cnn,USHARRISINT2003-09,NA,NA,NA,NA,NA
343,cnn200310,NA,United States,NA,NA,NA,2003,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2003-47,National_Adult_Sample,NA,NA,NA,NA
344,cnn200312,NA,United States,NA,NA,NA,2003,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2003-55,NA,NA,NA,NA,NA
345,cnn200402,NA,United States,NA,NA,NA,2004,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2004-10,NA,NA,NA,NA,NA
346,cnn200403,NA,United States,NA,NA,NA,2004,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2004-11,NA,NA,NA,NA,NA
347,cnn200405,NA,United States,NA,NA,NA,2004,NA,NA,weight,roper,cnn,usharrisint2004-05,NA,NA,NA,"list(file = file_path, var_names = c(""q34"", ""weight""), var_cards = c(2, 3), var_positions = c(18, 60), var_widths = c(1, 6), total_cards = 3)",NA
348,cnn200407,NA,United States,NA,NA,NA,2004,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2004-24,NA,NA,NA,NA,NA
349,cnn200503,NA,United States,NA,NA,NA,2005,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2005-14,NA,NA,NA,NA,NA
350,cnn200505,NA,United States,NA,NA,NA,2005,NA,NA,wtfctr,roper,cnn,USAIPOCNUS2005-21,NA,NA,NA,NA,NA
351,cnn200705,NA,United States,NA,NA,NA,2007,NA,NA,weight,roper,cnn,USORCCNN2007-006,NA,NA,NA,NA,NA
352,cnn200708,NA,United States,NA,NA,NA,2007,NA,NA,weight,roper,cnn,USORCCNN2007-008,NA,NA,NA,NA,NA
353,cnn200710,NA,United States,NA,NA,NA,2007,NA,NA,weight2,roper,cnn,USORCCNN2007-010,NA,NA,NA,NA,NA
354,cnn200806,NA,United States,NA,NA,NA,2008,NA,NA,weight,roper,cnn,USORCCNN2008-008,NA,NA,NA,NA,NA
355,cnn200812,NA,United States,NA,NA,NA,2008,NA,NA,weight,roper,cnn,USORCCNN2008-023,NA,NA,NA,NA,NA
356,cnn200905,NA,United States,NA,NA,NA,2009,NA,NA,weight,roper,cnn,USORCCNN2009-007,NA,NA,NA,NA,NA
357,cnn201105,NA,United States,NA,NA,NA,2011,NA,NA,weight,roper,cnn,USORCCNN2011-006,NA,NA,NA,NA,NA
358,cnn201109,NA,United States,NA,NA,NA,2011,NA,NA,weight,roper,cnn,USORCCNN2011-015,NA,NA,NA,NA,NA
359,cnn201205,NA,United States,NA,NA,NA,2012,NA,NA,weight,roper,cnn,USORCCNN2012-005,NA,NA,NA,NA,NA
360,cnn201303,NA,United States,NA,NA,NA,2013,NA,NA,weight,roper,cnn,USORCCNN2013-003,NA,NA,NA,NA,NA
361,cnn201306,NA,United States,NA,NA,NA,2013,NA,NA,weight,roper,cnn,USORCCNN2013-007,NA,NA,NA,NA,NA
362,cnn201412,NA,United States,NA,NA,NA,2014,NA,NA,weight,roper,cnn,USORCCNN2014-012,NA,NA,NA,NA,NA
363,cnn201606,NA,United States,NA,NA,NA,2016,NA,NA,weight,roper,cnn,USORCCNN2016-006,NA,NA,NA,NA,NA
